Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.17109,41.38767,"2427 - AB Plaça Catalunya 3-4 - Luxury 2-Bedroom Apartment, Steps from Plaça de Catalunya",Spain,500.0,Entire home/apt,8.0
2.1805,41.38044,"Dali IV, Friendly Rentals",Spain,60.0,Entire home/apt,8.0
2.17062,41.38947,"Plaza Catalunya V, Friendly Rentals",Spain,99.0,Entire home/apt,9.0
2.16481,41.37671,Apartment next to Las Ramblas and Paral·lel,Spain,60.0,Entire home/apt,8.0
2.15576,41.3856,2294 - AB Aragó Apartment 2-C - Central Apartment with a Communal Terrace in Eixample,Spain,500.0,Entire home/apt,8.0
2.20132,41.39454,MAR 402 Tres habitaciones junto a la Playa,Spain,400.0,Entire home/apt,9.0
2.16414,41.39654,"Caliu, Friendly Rentals",Spain,165.0,Entire home/apt,9.0
2.17611,41.37962,Nice apartment in Plaça Reial for long stay,Spain,60.0,Entire home/apt,9.0
2.15649,41.38545,2295 - AB Aragó Apartment2-D - Sleek Apartment with a Communal Terrace in Eixample,Spain,450.0,Entire home/apt,9.0
2.18081,41.38741,Sunny Born with Balcony,Spain,90.0,Entire home/apt,8.0
2.14977,41.39483,Big 4 Bedroom~,Spain,200.0,Entire home/apt,9.0
2.19151,41.38024,Beautiful Flat with Private Terrace in Barceloneta,Spain,55.0,Entire home/apt,10.0
2.15476,41.379,"CALABRIA, central, large, 4 bedrooms",Spain,92.0,Entire home/apt,9.0
2.15653,41.41861,2458 - AB Park Güell Apartment 4-3 - Wonderful 3-Bedroom Apartment near Park Güell with a Balcony,Spain,350.0,Entire home/apt,8.0
2.17851,41.40943,One-Bedroom Apartment with Balcony,Spain,75.0,Entire home/apt,8.0
2.1724,41.40648,Hermoso Apartamento SPBP22388,Spain,70.0,Entire home/apt,9.0
2.16073,41.39542,Atico en Paseo de Gracia,Spain,106.0,Entire home/apt,8.0
2.15816,41.38974,MODERNIST AND LUXURIOUS FLAT IN IDYLLIC LOCATION,Spain,74.0,Entire home/apt,9.0
2.1588,41.38829,Beautiful apartment in the center,Spain,100.0,Entire home/apt,10.0
2.17489,41.38391,Bright & Charming loft in the Gothic Quarter,Spain,46.0,Entire home/apt,9.0
2.16837,41.37295,Brand new Poble Sec design flat next to Montjuïc,Spain,15.0,Entire home/apt,9.0
2.16478,41.37105,Apartment Salva - 3 bedroom in Poble Sec,Spain,46.0,Entire home/apt,10.0
2.15648,41.41896,2447 - AB Park Güell Apartment 1-1 - Elegant 4-Bedroom Apartment near Park Güell with a Balcony,Spain,550.0,Entire home/apt,9.0
2.1539,41.39584,One bedroom apartment,Spain,125.0,Entire home/apt,10.0
2.15994,41.39379,Chic & Fashion. EIXAMPLE.,Spain,53.0,Entire home/apt,9.0
2.17156,41.39427,Lovely 2bed/3bath in the heart of Eixample,Spain,75.0,Entire home/apt,9.0
2.18482,41.39895,Sagrada Familia-auditorium. FREE WI-FI.,Spain,69.0,Entire home/apt,9.0
2.15567,41.37236,Amplio y luminoso.,Spain,60.0,Entire home/apt,10.0
2.1717,41.38569,Stylish apartment in the heart of Gothic area,Spain,111.0,Entire home/apt,7.0
2.18891,41.3751,Top Duplex at Barcelona Beach,Spain,175.0,Entire home/apt,9.0
2.18237,41.38264,"Elegant studio in old town Barcelona, El Gothic",Spain,58.0,Entire home/apt,10.0
2.21819,41.41356,Lovely and modern apartment.,Spain,27.0,Entire home/apt,9.0
2.17371,41.40764,Large flat in Sagrada Familia private garden.6 pax,Spain,53.0,Entire home/apt,9.0
2.17781,41.37897,GOTHIC RAMBLAS 2 APARTMENT,Spain,67.0,Entire home/apt,8.0
2.15801,41.3984,Amazing Loft in BCN Center (B0132),Spain,108.0,Entire home/apt,10.0
2.17039,41.37302,Studio with Terrace next to Rambla and Monjuic,Spain,100.0,Entire home/apt,9.0
2.13707,41.37615,HOMEnFUN Sants close to the Train station,Spain,52.0,Entire home/apt,7.0
2.16127,41.39879,Luminous dúplex apartment in Gracia district,Spain,150.0,Entire home/apt,7.0
2.15002,41.38031,Plaza España Apartment,Spain,100.0,Entire home/apt,8.0
2.16834,41.37236,Beautiful interior designed flat in Montjüic,Spain,25.0,Entire home/apt,7.0
2.13676,41.38121,Vibrant Flat with Rooftop Terrace and City Views,Spain,90.0,Entire home/apt,10.0
2.13911,41.40216,Barcelona Apartment Sarrià Pedralbes,Spain,75.0,Entire home/apt,9.0
2.1645,41.37343,Art Gallery Apartment 2B,Spain,90.0,Entire home/apt,9.0
2.21403,41.40434,1405 - LUXURY BEACH TERRACE APARTME,Spain,750.0,Entire home/apt,9.0
2.16658,41.37282,Stylish 1 bed flat with balcony in Montjüic,Spain,15.0,Entire home/apt,9.0
2.16033,41.37128,Atic with great views,Spain,120.0,Entire home/apt,10.0
2.16375,41.37956,Bonito y cómodo loft en el centro,Spain,100.0,Entire home/apt,9.0
2.162,41.38621,Comfort Luxury center apartment,Spain,100.0,Entire home/apt,9.0
2.15849,41.40913,Remodeled penthouse in Gracia *Bcn*,Spain,140.0,Entire home/apt,9.0
2.16855,41.37393,1921 - AB Paral·lel Apartment A - Contemporary Penthouse with a Private Terrace,Spain,470.0,Entire home/apt,8.0
2.12439,41.37454,CAMP NOU MUNNE 2-2 APARTMENT,Spain,75.0,Entire home/apt,9.0
2.18094,41.38717,Beautiful and bright flat in Born Barcelona,Spain,67.0,Entire home/apt,10.0
2.14344,41.37483,Plaza two bedroom apartment,Spain,80.0,Entire home/apt,9.0
2.15565,41.37386,Lovely Apartment in the heart of Barcelona.,Spain,98.0,Entire home/apt,9.0
2.17542,41.42309,Apartment Eduardo,Spain,180.0,Entire home/apt,9.0
2.17762,41.40782,"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,100.0,Entire home/apt,9.0
2.16192,41.38878,COZY APARTMENT II,Spain,34.0,Entire home/apt,9.0
2.13539,41.38778,Awesome apartment & amazing terrace! HUTB-012684,Spain,180.0,Entire home/apt,9.0
2.17461,41.42355,1889 - AB Montserrat Comfort Apartment 4 -1 - Comfortable 2-Bedroom Apartment with a Balcony in a Quiet Neighbourhood,Spain,55.0,Entire home/apt,10.0
