Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating,Host_Name,No_Of_BedRooms,No_Of_BathRooms,No_Of_Beds
2.14478,41.38712,PRIVATE ROOM WITH WIFI,Spain,18.0,Private room,9.0,Esperanza,1.0,2.0,2.0
2.17632,41.38277,Old District - Charming Apartment,Spain,50.0,Private room,9.0,Maria StayBarcelona,1.0,1.0,2.0
2.13318,41.37437,HABITACION SINGLE en el  BARRIO DE SANTS-MONTJUIC,Spain,38.0,Private room,10.0,Jorge,1.0,1.0,1.0
2.14992,41.39578,Отдых в престижной зоне Барселоны 3,Spain,30.0,Private room,6.0,Olí,1.0,1.0,1.0
2.16932,41.40323,Double Bed in the very middle of Barcelona,Spain,40.0,Private room,9.0,Vicente,1.0,1.0,1.0
2.1801,41.3926,Arc del Triomf - Big double room in authentic flat,Spain,19.0,Private room,9.0,Andrea & Agu,1.0,1.0,1.0
2.15199,41.379,Habitación Gayfriendly l'Eixample,Spain,60.0,Private room,9.0,Diego,1.0,1.0,1.0
2.1918,41.39423,DOUBLE ROOM + PERFECT LOCATION,Spain,30.0,Private room,9.0,Tom’s Team,1.0,1.5,1.0
2.15993,41.37338,LAST CALL MWC - Bedroom w/ private wc and balcony,Spain,130.0,Private room,9.0,Diego,1.0,1.0,1.0
2.13445,41.36859,Near the center and the airport . Double room,Spain,30.0,Private room,9.0,Gigi,1.0,1.0,1.0
2.14606,41.3708,Lovely room in design apartment in Plaza España,Spain,60.0,Private room,10.0,Alena,1.0,1.0,1.0
2.15955,41.38006,Private Room & King Size Bed (Eixample),Spain,60.0,Private room,9.0,Jose Maria,1.0,1.0,1.0
2.16653,41.38154,Cosy single room en el Raval,Spain,20.0,Private room,10.0,Carla,1.0,1.0,1.0
2.16109,41.39727,Exterior room with double bed and terrace!!,Spain,31.0,Private room,9.0,Igor,1.0,7.0,1.0
2.17074,41.39056,Two rooms with great view sagrada familia,Spain,100.0,Private room,9.0,Romina,2.0,1.0,2.0
2.18156,41.40431,Bright room in sagrada familia,Spain,15.0,Private room,9.0,Jeremy,1.0,1.0,2.0
2.15144,41.38256,YOUR SUNNY DOUBLE BEDROOM IN THE CENTER,Spain,45.0,Private room,9.0,Gerard,1.0,1.5,1.0
2.19603,41.39933,Large and bright room near the beach - Poblenou,Spain,52.0,Private room,10.0,Sofia,1.0,1.0,1.0
2.181,41.40318,Cozy room in Sagrada Familia,Spain,15.0,Private room,10.0,Jeremy,1.0,1.0,2.0
2.15881,41.39925,Heart of the City-Cozy Room Private Sunny Balcony!,Spain,14.0,Private room,9.0,Vahb,1.0,2.0,1.0
2.16187,41.37292,Double room in Poble sec,Spain,25.0,Private room,9.0,Dino,1.0,1.0,1.0
2.1966,41.39356,Habitación en Villa Olímpica,Spain,30.0,Private room,9.0,Inaki,1.0,1.0,1.0
2.1621,41.39583,"Luxury PRIVATE room on Gracia, 2min from everythng",Spain,99.0,Private room,9.0,Renat,0.0,1.0,2.0
