Longitude,Latitude,Name,Country,Price,Room_Type,Review_Rating
2.17533,41.39454,Spacious double room with balcony,Spain,69.0,Private room,10.0
2.18198,41.38189,Boqueria - Cosy studio in Born,Spain,76.0,Entire home/apt,10.0
2.18951,41.3918,Habitacion Cama Doble  en Vila Olimpica .,Spain,29.0,Private room,9.0
2.15659,41.37207,habitacion en Barcelona,Spain,24.0,Private room,9.0
2.12421,41.3784,DOUBLE ROOM (1 or 2 people),Spain,27.0,Private room,9.0
2.1564,41.37864,Sunny double room with balcony,Spain,38.0,Private room,10.0
2.16589,41.39002,"Luxurious, bright, spacious Plaza Catalunya",Spain,200.0,Entire home/apt,9.0
2.1823,41.40208,Céntrica Habitación,Spain,20.0,Private room,9.0
2.15988,41.3767,Perfect double room with private bathroom ! !,Spain,50.0,Private room,8.0
2.18177,41.38667,Cosy room in the Born district,Spain,24.0,Private room,10.0
2.17532,41.38977,Beautiful apartment by Pl Catalunya,Spain,130.0,Entire home/apt,9.0
2.17648,41.41089,Apartamento familiar a estrenar,Spain,100.0,Entire home/apt,9.0
2.14969,41.39367,ONE BEDROOM DIAGONAL,Spain,195.0,Entire home/apt,8.0
2.17505,41.40975,Bonita habitacion centrica-Sagrada Familia,Spain,18.0,Private room,9.0
2.17228,41.39785,Cozzy Room close to the center in quiet flat  !!!,Spain,32.0,Private room,9.0
2.17518,41.37998,CHARMING APARTMENT in PLAÇA REIAL-HUTB (Phone number hidden by Airbnb),Spain,150.0,Entire home/apt,9.0
2.18864,41.3815,"SM8 - Serenity Beach - 2 Bedroom, Dressing Room",Spain,38.0,Entire home/apt,10.0
2.22733,41.41004,Private cabin,Spain,35.0,Private room,8.0
2.15739,41.42255,Apartment located near Guell park,Spain,31.0,Private room,9.0
2.19013,41.40625,"Glorias:Sagrada Familia 15minutes, Beach 20minutes",Spain,85.0,Entire home/apt,9.0
2.1633,41.37391,COMFORTABLE AND IN THE CENTER.,Spain,18.0,Private room,10.0
2.18227,41.3859,"Nice room in artistic apartment, very central",Spain,15.0,Private room,9.0
2.13237,41.37549,Hab. individual en Barcelona / Single room in Bcn,Spain,15.0,Private room,9.0
2.12841,41.37419,Share a flat in a lovely penthouse with terrace,Spain,23.0,Private room,10.0
2.11732,41.41753,Private Room in Renovated Library w/ Swimming Pool,Spain,95.0,Private room,10.0
2.1644,41.38926,"Stylish, central, bright, AC, Rambla Catalunya!",Spain,599.0,Entire home/apt,9.0
2.16296,41.37339,Tapioles Triplex Apartment,Spain,209.0,Entire home/apt,8.0
2.17652,41.39574,Habitación doble en el centro,Spain,30.0,Private room,10.0
2.17689,41.39044,Lovely and quiet doble room in the center of BCN,Spain,35.0,Private room,8.0
2.15555,41.39696,Nice apartment for design lovers. Great terrace.,Spain,101.0,Entire home/apt,10.0
2.1509,41.39106,Charming room  Diagonal wifi 100 Mb,Spain,39.0,Private room,10.0
2.17178,41.40631,Beautiful Apartment Sagrada Familia SPB332388,Spain,60.0,Entire home/apt,9.0
2.16991,41.39598,Lovely room with the best location ever!,Spain,60.0,Private room,9.0
2.17377,41.37333,CITY CENTER FLAT WITH VIEW TERRACE,Spain,59.0,Entire home/apt,9.0
2.18067,41.38542,Two person room in vibrant Old Town,Spain,40.0,Private room,10.0
2.17944,41.39602,Room with a double bed close to Arc de Triomf,Spain,45.0,Private room,10.0
2.16651,41.37247,Cozy Split Level Home with Exposed Brick Walls,Spain,110.0,Entire home/apt,9.0
2.17934,41.38052,What a place in Barcelona in the center,Spain,43.0,Entire home/apt,9.0
2.17784,41.40775,Sagrada Familia Gaudi,Spain,60.0,Entire home/apt,9.0
2.14478,41.38712,PRIVATE ROOM WITH WIFI,Spain,18.0,Private room,9.0
2.16365,41.39012,The Central Place VI,Spain,242.0,Entire home/apt,10.0
2.17632,41.38277,Old District - Charming Apartment,Spain,50.0,Private room,9.0
2.13318,41.37437,HABITACION SINGLE en el  BARRIO DE SANTS-MONTJUIC,Spain,38.0,Private room,10.0
