Name,Country,Price,Room_Type,Review_Rating
Grace 1 - Habitat Apartments,Spain,292,Entire home/apt,9
Superior Apartment Passeig de Gracia with Views,Spain,290,Entire home/apt,9
Modernist apartment principal,Spain,268,Entire home/apt,8
Penthouse 3 bedrooms apartment B376,Spain,262,Entire home/apt,10
Allotja't en un elegant i lluminós pis modernista al costat de Passeig de Gràcia,Spain,255,Entire home/apt,10
Loft Duplex Barcelona,Spain,250,Entire home/apt,9
Happy People Plaza España - 4 bedroom (3),Spain,250,Entire home/apt,9
The Central Place VI,Spain,242,Entire home/apt,10
White House,Spain,230,Entire home/apt,9
Grande I Apartment on Valencia St.,Spain,222,Entire home/apt,9
Appartement de 125m2 lumineux et calme,Spain,220,Entire home/apt,9
One Bedroom Apartment (4pers) near Sagrada Familia,Spain,219,Entire home/apt,10
Tapioles Triplex Apartment,Spain,209,Entire home/apt,8
Big 4 Bedroom~,Spain,200,Entire home/apt,9
2 Luxury bedroom apartment,Spain,200,Entire home/apt,9
MODERN APART. IN THE CENTER - 3 BEDROOM- BLANCA,Spain,200,Entire home/apt,9
Family Apartment with Balcony in Gracia - 1821,Spain,200,Entire home/apt,9
"Luxurious, bright, spacious Plaza Catalunya",Spain,200,Entire home/apt,9
Renovated Modern Apartment with Cathedral Views,Spain,199,Entire home/apt,9
Modern One Bedroom Apartment in Eixample Area B142,Spain,197,Entire home/apt,9
ONE BEDROOM DIAGONAL,Spain,195,Entire home/apt,8
"Terrace, sea view at Diagonal Mar!",Spain,190,Entire home/apt,10
Rambutan - Only 8min. walking from Paseo de Gracia,Spain,188,Entire home/apt,9
Awesome apartment & amazing terrace! HUTB-012684,Spain,180,Entire home/apt,9
Apartment Eduardo,Spain,180,Entire home/apt,9
Spectacular Modern Uptown Duplex,Spain,175,Entire home/apt,10
Top Duplex at Barcelona Beach,Spain,175,Entire home/apt,9
UD Rambla Suites  Pool 27 (2 BR),Spain,175,Entire home/apt,9
Grand apartment Sagrada Familia,Spain,169,Entire home/apt,9
Piso muy grande con 6 habitaciones en el centro,Spain,168,Entire home/apt,9
"Caliu, Friendly Rentals",Spain,165,Entire home/apt,9
Casa Cosi - Gotico,Spain,160,Entire home/apt,8
ON Passeig de Gràcia LUXURY 2BR TERRACE&concierge,Spain,160,Entire home/apt,9
Bright and comfortable 1 bedroom apartment,Spain,159,Entire home/apt,9
Two bedroom apartment,Spain,155,Entire home/apt,10
Tanger Jazz Pool and Beach,Spain,150,Entire home/apt,9
Cozy & central apartment in the heart of Barcelona,Spain,150,Entire home/apt,9
Precioso Apartamento en Barcelona *Bcn* C02,Spain,150,Entire home/apt,9
CENTRAL APARTMENT 1min to RAMBLAS,Spain,150,Entire home/apt,9
Amazing Duplex with Big Terrace *4BD,Spain,150,Entire home/apt,9
City centre loft with rooftop pool and terrace,Spain,150,Entire home/apt,9
CHARMING APARTMENT in PLAÇA REIAL-HUTB (Phone number hidden by Airbnb),Spain,150,Entire home/apt,9
Luminous dúplex apartment in Gracia district,Spain,150,Entire home/apt,7
"Loft in Arc de Triomf Barcelona with terrace, pool",Spain,150,Entire home/apt,9
Exquisite apt. Open space and plently of light,Spain,150,Entire home/apt,10
Apartment in the heart of Barcelona,Spain,150,Entire home/apt,10
Modern refurbished flat in Gracia,Spain,150,Entire home/apt,10
IDEAL APARTMENT SAGRADA FAMILIA,Spain,150,Entire home/apt,10
Deluxe 2 Bedroom Apartment in the Eixample District in lovely Barcelona!,Spain,149,Entire home/apt,8
Stylish apartment A in city center,Spain,145,Entire home/apt,10
Estudio / Terraza P4 (S. Família) mínimo 32 NOCHES,Spain,143,Entire home/apt,10
Lovely Penthouse in Barcelona,Spain,140,Entire home/apt,9
Modernist flat close to the Sagrada Familia,Spain,140,Entire home/apt,9
Eric Vökel Boutique Apartments - Sagrada Familia Suites - 2 Bedroom 2 Bathrooms Apartment,Spain,140,Entire home/apt,10
Remodeled penthouse in Gracia *Bcn*,Spain,140,Entire home/apt,9
ENTIRE BUILDING in the City Center/Beach,Spain,135,Entire home/apt,9
Blackandwhitehome Poble Nou Attic I,Spain,135,Entire home/apt,9
PISO MODERNO EN EL EIXAMPLE,Spain,132,Entire home/apt,10
Large two bedroom apartment,Spain,130,Entire home/apt,9
The Balcony Apartment,Spain,130,Entire home/apt,9
D3 - Centro Ciudad / Pº de Gracia,Spain,130,Entire home/apt,9
Beautiful apartment by Pl Catalunya,Spain,130,Entire home/apt,9
Cute Eixample Apartment.  HUTB-005692,Spain,130,Entire home/apt,9
Spacious and quiet duplex apartment in Poble Sec,Spain,130,Entire home/apt,10
SEALONA CENTER III,Spain,130,Entire home/apt,10
Las Ramblas Penthouse Apartment,Spain,130,Entire home/apt,10
"Stylish, spacious, central, shared rooftop terrace",Spain,129,Entire home/apt,9
BCN Duplex Sagrada Familia,Spain,129,Entire home/apt,9
Smart Luxury KissMe 2BR balcony,Spain,129,Entire home/apt,9
Enchanted Gràcia Loft with a Patio,Spain,129,Entire home/apt,9
Cute apart with terrace Downtown !,Spain,128,Entire home/apt,9
Principito Apartment w/2 Ensuite Bathrooms,Spain,127,Entire home/apt,10
QUIET AND COMFY 2BD WIFI GRACIA,Spain,125,Entire home/apt,7
One bedroom apartment,Spain,125,Entire home/apt,10
Centric apart perfect familes 1.1,Spain,125,Entire home/apt,9
Beautiful Comfy Flat Valencia St A,Spain,125,Entire home/apt,9
Bright lovely apartment in Gracia with balcony,Spain,125,Entire home/apt,8
Big apartment by Barcelona's main train station,Spain,120,Entire home/apt,10
Atic with great views,Spain,120,Entire home/apt,10
"Cozy seasonal apartment in  Eixample, city center.",Spain,120,Entire home/apt,9
Modern & Cosy 3BD in Ramblas *Balcony,Spain,120,Entire home/apt,8
ROMANTIC Apartment WIFI in center,Spain,120,Entire home/apt,9
Barcelona Just Like Home - Green,Spain,120,Entire home/apt,9
Nice and cozy apartment in Sagrada Familia.,Spain,120,Entire home/apt,10
Gorgeous flat 4bed 5min to tube in lovely Eixample,Spain,115,Entire home/apt,9
"Minimalist Rooms in BCN, live it.",Spain,115,Entire home/apt,10
ABSOLUTE SAGRADA FAMILIA 2,Spain,115,Entire home/apt,10
EIXAMPLE DELIGHT - Cozy & Bright Apartment,Spain,115,Entire home/apt,9
BRAND-NEW 1 BD APT SAGRADA FAMILIA 41,Spain,115,Entire home/apt,9
Stylish apartment in the heart of Gothic area,Spain,111,Entire home/apt,7
Awesome flat in the center (HUTB-014195),Spain,110,Entire home/apt,8
Cozy Split Level Home with Exposed Brick Walls,Spain,110,Entire home/apt,9
Excellent Duplex in Sarrià with Private Pool,Spain,110,Entire home/apt,9
Studio located in the best part of the city,Spain,110,Entire home/apt,9
Terrace and pool apartment near the Barcelona,Spain,110,Entire home/apt,9
Sagrada Familia Butterfly,Spain,108,Entire home/apt,9
Amazing Loft in BCN Center (B0132),Spain,108,Entire home/apt,10
Atico en Paseo de Gracia,Spain,106,Entire home/apt,8
Gaudí - Sagrada Familia,Spain,105,Entire home/apt,9
Apartment For Rent Near Camp Nou,Spain,105,Entire home/apt,8
Apt.cerca SagradaFamilia (4pax) SF2,Spain,105,Entire home/apt,8
Vila Olímpica Sant Martí - Sardenya,Spain,103,Entire home/apt,9
Nice apartment for design lovers. Great terrace.,Spain,101,Entire home/apt,10
Beautiful apartment in the center,Spain,100,Entire home/apt,10
Bonito y cómodo loft en el centro,Spain,100,Entire home/apt,9
RAMBLAS 1,Spain,100,Entire home/apt,7
Studio with Terrace next to Rambla and Monjuic,Spain,100,Entire home/apt,9
Vintage apartment,Spain,100,Entire home/apt,9
Comfort Luxury center apartment,Spain,100,Entire home/apt,9
LetsgoBarcelona Diagonal Ave. Duplex,Spain,100,Entire home/apt,8
Romantic one bedroom apartment in Eixample,Spain,100,Entire home/apt,9
Apartamento familiar a estrenar,Spain,100,Entire home/apt,9
Plaza España Apartment,Spain,100,Entire home/apt,8
2378 - AB Casa Farreras A - Amazing 1-bedroom Apartment with a Private Terrace,Spain,100,Entire home/apt,9
"Bright 1 bedroom, Sagrada Familia, long term¦",Spain,100,Entire home/apt,9
Elegant flat in romantic old city,Spain,100,Entire home/apt,9
Beautiful Sagrada Familia apartment,Spain,99,Entire home/apt,9
Elegant apartment Sagrada Familia,Spain,99,Entire home/apt,9
Light Loft | Walk to the Beach | Free Parking,Spain,99,Entire home/apt,9
"Plaza Catalunya V, Friendly Rentals",Spain,99,Entire home/apt,9
Sunny Attic with Pool and Terrace near the Beach!,Spain,99,Entire home/apt,9
Lovely Apartment in the heart of Barcelona.,Spain,98,Entire home/apt,9
Sunny apartment in Sagrada Familia,Spain,98,Entire home/apt,9
Orange tree View flat with patio,Spain,97,Entire home/apt,10
Loft Miro,Spain,96,Entire home/apt,9
Cozy Apartment on Sortidor Square,Spain,96,Entire home/apt,9
FANTASTIC APARTMENT SAGRADA FAMILIA,Spain,95,Entire home/apt,9
"Newly renovated studio, trendy borne area, terrace",Spain,95,Entire home/apt,9
New! Bright 2bed easily connected to the center,Spain,94,Entire home/apt,9
"CALABRIA, central, large, 4 bedrooms",Spain,92,Entire home/apt,9
Alcam Colón 42 Apartment,Spain,91,Entire home/apt,8
Alcam Colon 52 Apartment,Spain,91,Entire home/apt,9
Confortable apartment in BCN- WIFI,Spain,91,Entire home/apt,9
Paseo de Gracia Apartment 4 3,Spain,90,Entire home/apt,9
Modern Beachside Apartment with Balcony,Spain,90,Entire home/apt,10
Vibrant Flat with Rooftop Terrace and City Views,Spain,90,Entire home/apt,10
Next to Barcelona Fair and Magic Fountain,Spain,90,Entire home/apt,9
Sagrada Familia up to 6,Spain,90,Entire home/apt,9
Art Gallery Apartment 2B,Spain,90,Entire home/apt,9
1tnf SUPER GREAT LOCATION IN BARCELONA!!!,Spain,90,Entire home/apt,8
Sunny Born with Balcony,Spain,90,Entire home/apt,8
"1 bedroom apartment + sofa bed, balcony.",Spain,90,Entire home/apt,9
Trendy apartment in BCN centre,Spain,89,Entire home/apt,9
