Name,Price
Double room with shared batroom with sea view,35
In the center of Barcelona!!!,35
Habitación Individual,35
Private cabin,35
★Exterior y céntrica★St Antoni A 2 min del Aerobus,35
Comfortable and quiet Room in Barcelona,35
Habitación acogedora y soleada!!,35
Not a big room in Barcelona,35
Nice Bright Room by the Beach!,35
"Big bed, big room, near to plaza españa",35
Prívate room with double bed,35
el Besos y el Maresme,35
Nice room centr 6,35
Happy journey,35
Habitación Luminosa y tranquila ambiente familiar.,35
PRIVATE ROOM NEAR CITY CENTER,35
2 confortables habitaciones en el centro de BCN!,35
"Cosy and bright double room. El Born, Barcelona.",35
PRETTY ROOM IN BARCELONA-A/C-NEAR PLAZA ESPAÑA,35
HABITACIÓN DOBLE EN EL CENTRO MUY BIEN COMUNICADA,35
The Best point to Enjoy Barcelona,35
Very quite and bright room in Raval near Ramblas,34
Cozy room in the center of Barcelona!!!,33
"Lovely room close to beach,15 min center",32
MP Room for 2 persons bunk bed in shared apartment,32
"Double room, facing the sea. CCIB",32
Cozzy Room close to the center in quiet flat  !!!,32
piso céntrico de Barcelona,32
habitación doble tranquila con luz,31
Doble room in the heart of BCN - Born,31
Exterior room with double bed and terrace!!,31
Apartment located near Guell park,31
Habitación en Villa Olímpica,30
"Private room in Gracia, Barcelona",30
Habitación cómoda con llave 5,30
SUPER CENTRAL + BALCONY IN RAMBLAS !!!,30
Espaciosa habitación / spacious room,30
Habitación con terraza y mucha luz en el centro.,30
GUESTROOM in BARCELONA/SANTS,30
Private bedroom in BORN,30
Near the center and the airport . Double room,30
Excelente apartamento con perfecta ubicación..,30
Alquilamos habitacion,30
DOUBLE ROOM + PERFECT LOCATION,30
Double room in the middle of Gracia,30
El hogar de Gabi.,30
Habitación doble en el centro,30
Отдых в престижной зоне Барселоны 3,30
Cozy Room (Girls only) Quiet area/Sagrada Familia,30
Amazing single room in Sagrada Familia area!!,30
HABITACION DOBLE DI,30
Habitación privada en el corazón de Gracia,30
El castillo del raval,30
Perfect Location! QUIET ROOM just off LA RAMBLA,29
Acogedor alojamiento en SAGRADA FAMILIA,29
Cosy Single Room in the Centre,29
Habitacion Cama Doble  en Vila Olimpica .,29
Double room & private toilet near Sagrada Familia,29
{{ SAGRADA FAMILIA }} Center ROOM *****,29
Sunny Private Room with balcony in LA RAMBLA- WIFI,28
Habitación  Barrio Barceloneta,28
Artistic house in the center of BCN,27
